credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,years.with.cr.line
1,all_other,0.0863,474.42,10.81977828,2.59,797,5656,27.6,0,0,0,0,32.720054757015745
1,credit_card,0.1355,339.6,11.51292546,7.94,662,21162,57.7,0,0,0,0,5.3113164490075295
1,credit_card,0.0788,484.85,11.73606902,7.05,782,16931,34.6,1,0,0,0,15.4415925174538
1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,4822,58.1,0,0,1,0,10.296942732375086
1,all_other,0.0901,159.03,12.4292162,10.0,712,14354,36.6,0,2,0,0,4.254506045174538
1,all_other,0.0743,155.38,11.08214255,0.28,802,1576,5.7,1,0,0,0,12.730892082135522
1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,4175,51.5,0,1,0,0,3.611111110198494
1,all_other,0.0743,155.38,12.20607265,0.28,772,3164,13.7,0,0,0,0,12.366757927446953
1,all_other,0.0743,155.38,12.20607265,3.72,812,85607,0.7,0,0,0,0,18.559776407939765
1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,9698,19.4,0,0,0,0,8.62137805065024
1,credit_card,0.1028,275.38,9.798127037,6.4,692,8847,26.9,1,1,0,0,20.45163130184805
1,home_improvement,0.0743,155.38,11.91839057,0.0,777,6053,19.5,0,0,0,0,19.518024183436
1,home_improvement,0.0807,78.42,11.60823564,11.33,762,7274,13.1,0,0,0,0,16.591261691991786
1,credit_card,0.087,158.3,11.22524339,15.55,757,66033,23.0,0,0,0,0,13.059548254620124
1,all_other,0.0743,155.38,11.46163217,3.83,772,3660,6.8,0,0,0,0,6.940451745379876
1,credit_card,0.0743,155.38,11.35040654,0.31,787,216,0.6,0,0,0,0,9.69199178644764
1,credit_card,0.1122,164.23,11.28978191,1.21,672,27185,16.1,3,0,1,0,10.924024640657084
1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,28329,48.6,1,0,0,0,11.827515400410677
1,home_improvement,0.0933,159.77,12.10071213,11.93,717,60568,39.2,1,0,0,0,12.317476613278576
1,home_improvement,0.0807,156.84,12.10071213,5.55,742,40934,26.3,0,0,0,0,11.003422313483915
1,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,8379,16.9,0,0,0,0,9.69199178644764
1,small_business,0.087,94.98,10.1266311,14.54,752,3660,7.8,1,0,0,0,6.7351129363449695
1,home_improvement,0.1028,97.2,12.20607265,0.0,677,0,0.0,0,1,0,0,10.348961897330595
1,credit_card,0.1122,164.23,10.30895266,18.64,702,15840,47.1,0,0,0,0,14.209445585215606
1,credit_card,0.0838,167.02,11.21182037,14.37,797,6844,14.4,0,0,0,0,15.361966688569472
1,educational,0.0775,168.6,8.987196821,3.0,762,1321,16.5,0,0,0,0,18.233972164271044
1,all_other,0.0838,160.72,10.37349118,14.78,772,4737,23.9,0,0,0,0,11.989048596851472
1,credit_card,0.0901,159.03,11.19821472,9.96,722,23489,37.6,0,0,0,0,8.459844854209445
1,debt_consolidation,0.0743,178.69,11.73606902,0.27,792,2817,10.2,0,0,0,0,20.50365046680356
1,credit_card,0.0743,155.38,10.71441777,1.12,782,1783,0.0,1,0,0,0,15.898699520876113
1,small_business,0.1028,323.98,10.217422,10.7,712,3534,54.4,0,0,0,0,3.7754962354551678
1,small_business,0.1059,813.65,10.77895629,4.05,762,2422,23.3,0,0,0,0,7.474218570841889
1,educational,0.0996,112.87,9.510444964,16.44,712,2864,41.1,1,0,0,0,4.51733972073922
1,debt_consolidation,0.1596,94.88,10.86283777,12.57,627,3075,92.3,1,0,0,0,3.8576317590691307
1,small_business,0.1059,398.69,11.00209984,17.12,747,17214,8.1,2,1,0,0,38.354437590691305
1,credit_card,0.1154,39.6,9.903487553,2.04,662,1153,75.8,2,0,0,0,3.1184120465434635
1,credit_card,0.1343,678.08,11.88448902,10.15,682,41674,74.1,0,0,0,1,11.526237735797398
1,credit_card,0.1249,401.37,11.22524339,15.0,682,43039,93.4,3,0,0,0,12.262833675564682
1,all_other,0.0964,205.45,11.00209984,7.72,712,3362,69.3,0,0,0,0,6.280515627652293
1,debt_consolidation,0.1186,397.75,11.08214255,7.14,682,11868,71.9,0,2,0,0,23.901437371663246
1,all_other,0.0743,155.38,10.59663473,2.55,772,2562,14.0,2,0,0,0,22.42288386858316
1,all_other,0.1028,113.39,9.903487553,1.5,682,1882,32.4,0,0,0,0,3.8603696098562628
1,debt_consolidation,0.1186,99.44,10.49551521,7.47,667,1064,70.9,2,0,1,0,6.981519507186858
1,credit_card,0.0807,109.79,11.49272276,8.52,752,6432,6.0,0,1,0,0,13.634382841889115
1,all_other,0.1059,32.55,10.43382164,14.47,687,4485,36.9,1,0,0,1,3.0390143737166326
1,all_other,0.0996,112.87,11.26446411,11.06,702,16310,20.5,0,1,0,0,13.634382841889115
1,debt_consolidation,0.0964,160.51,11.77528973,8.55,712,20969,40.2,0,0,0,0,16.262833675564682
1,debt_consolidation,0.1375,340.57,10.46310334,17.38,707,22213,65.9,0,0,0,0,7.392083047227926
1,home_improvement,0.0775,156.11,12.32385568,6.48,752,2160,2.3,1,0,0,0,14.620009125256672
1,credit_card,0.0743,155.38,11.15625052,4.56,812,813,1.0,0,0,0,0,26.855578370978783
1,home_improvement,0.0807,235.25,11.91839057,2.72,757,23678,24.4,4,0,0,0,14.242299794661191
1,debt_consolidation,0.0996,257.99,10.77895629,15.13,722,11289,47.8,3,0,0,0,7.227926078028747
1,small_business,0.1501,225.37,12.26904744,6.45,677,56411,75.3,0,0,0,1,17.084188911704313
1,home_improvement,0.0964,80.26,11.22524339,20.0,772,269,3.8,3,0,0,1,13.472849645448322
1,home_improvement,0.128,84.0,10.37349118,20.0,682,3408,35.1,1,0,0,1,15.0362765229295
1,debt_consolidation,0.1122,507.46,10.59663473,13.5,712,6513,34.3,3,0,1,1,14.699406798083503
1,educational,0.0743,124.31,10.59663473,3.45,772,330,11.0,0,0,0,0,4.763746291581109
1,credit_card,0.087,63.32,11.15625052,6.07,712,5967,19.8,1,0,0,0,6.981519507186858
1,all_other,0.1091,130.79,9.798127037,18.0,707,5533,79.6,1,0,0,0,6.0013689253935665
1,home_improvement,0.0775,93.67,11.73606902,2.14,762,21050,1.0,0,0,0,0,22.915811088295687
1,all_other,0.0775,93.67,10.81977828,5.35,762,21050,0.7,0,0,0,0,22.915811088295687
1,all_other,0.087,88.65,11.69524702,15.0,742,8155,14.9,1,0,0,0,8.284736481861739
1,all_other,0.0964,128.41,11.51292546,15.0,722,8155,14.9,1,0,0,0,8.284736481861739
1,home_improvement,0.087,94.98,11.03488966,12.23,737,3678,30.7,0,0,0,0,7.474218570841889
1,debt_consolidation,0.1217,179.8,10.46310334,7.1,662,2040,36.2,2,0,0,0,8.060232717316905
1,credit_card,0.1533,444.05,11.00209984,19.52,667,33074,68.8,2,0,0,0,7.394820898015058
1,all_other,0.0775,124.89,11.03165864,3.46,747,1918,17.1,0,0,0,0,6.896646132785763
1,credit_card,0.1533,644.3,11.40756495,5.24,662,22379,62.2,0,0,0,0,4.84599589322382
1,small_business,0.0964,642.02,11.47210347,2.86,737,10296,42.5,0,0,0,1,5.9958932238193015
1,small_business,0.1154,104.76,9.61580548,12.24,672,2867,55.1,3,0,0,1,3.531713437371663
1,debt_consolidation,0.1122,157.66,10.30895266,12.36,682,12310,86.1,0,0,0,0,4.84599589322382
1,debt_consolidation,0.087,383.87,11.91839057,4.8,767,61921,39.1,0,0,0,0,36.55019392197125
1,credit_card,0.1122,217.6,11.38509209,18.0,702,16738,26.1,2,0,0,0,10.198494182067078
1,all_other,0.0807,297.99,11.05089001,3.49,792,40384,9.2,1,0,0,0,16.26009582477755
1,debt_consolidation,0.0775,156.11,10.71441777,5.0,762,1359,5.6,2,0,0,0,5.834360027378508
1,debt_consolidation,0.1154,329.95,12.32385568,20.0,727,107501,44.8,2,0,0,0,28.177960301163587
1,all_other,0.0807,313.67,12.06104687,0.72,787,3054,5.6,3,0,0,0,21.930184804928132
1,all_other,0.0807,297.99,11.40756495,2.44,792,40384,9.6,0,0,0,0,23.868469084188913
1,home_improvement,0.0933,239.65,11.44035477,9.66,792,128000,0.0,3,0,0,0,12.399726214921287
1,debt_consolidation,0.0712,61.87,11.6784399,0.43,772,4709,18.5,0,0,0,0,16.251882272416154
1,all_other,0.1186,94.47,10.71441777,2.8,667,2850,75.0,0,1,0,0,14.948665297741274
1,small_business,0.1501,73.68,11.47210347,16.89,702,51,0.0,0,0,0,1,11.170431211498974
1,home_improvement,0.0807,313.67,11.91839057,5.84,792,37152,3.7,0,0,0,0,14.688455394934975
1,debt_consolidation,0.0933,543.2,11.22524339,9.55,762,3839,16.6,1,0,0,0,15.605635408624229
1,home_improvement,0.0807,313.67,11.35040654,3.11,797,37152,3.7,0,0,0,0,14.685717544147844
1,credit_card,0.1217,266.37,11.15625052,10.2,672,26283,39.5,0,1,0,1,9.853410904859686
1,debt_consolidation,0.1028,210.6,10.71441777,5.87,692,5607,42.2,0,0,0,0,4.769221993155373
1,all_other,0.1249,234.15,10.04324949,5.01,662,1061,81.9,3,0,0,0,3.0390143737166326
1,debt_consolidation,0.1028,323.99,11.69524702,14.4,722,56740,77.5,1,0,0,0,12.813027605749486
1,credit_card,0.1059,235.96,10.95080655,7.22,712,40598,77.3,1,0,0,0,15.110198494182066
1,debt_consolidation,0.1438,352.22,11.1844214,17.83,687,3815,6.5,1,0,0,0,3.531713437371663
1,all_other,0.0743,117.31,11.69524702,0.0,772,0,0.0,1,0,0,0,10.75963951540041
1,debt_consolidation,0.0712,64.96,11.60823564,0.22,812,50,0.3,0,0,0,0,44.388774811772755
1,small_business,0.1565,699.69,11.42954386,1.53,667,4569,56.4,1,0,0,0,9.867100158795346
1,educational,0.1059,195.27,9.852194258,8.15,692,8528,86.1,0,0,0,0,8.459844854209445
1,credit_card,0.1122,295.59,10.3859137,22.15,747,14345,45.8,0,0,0,0,7.635751767282684
1,small_business,0.1122,217.59,10.81977828,18.38,707,113,2.4,1,0,0,0,9.196440793976729
1,debt_consolidation,0.1375,263.09,11.03811028,9.8,677,12231,81.0,3,0,0,1,8.459844854209445
1,debt_consolidation,0.1467,248.43,10.95080655,20.76,667,13552,69.1,0,1,0,0,10.26694045174538
1,credit_card,0.1028,194.4,11.37710574,10.6,692,16813,63.9,0,0,0,0,6.817134381930185
1,debt_consolidation,0.1249,301.04,10.57131693,5.08,667,26233,62.9,3,0,1,1,10.102669404517453
1,all_other,0.0743,163.92,11.35040654,2.64,782,5760,16.0,0,0,0,0,25.215605749486652
1,all_other,0.1028,150.66,10.727663,3.26,687,105,35.0,1,1,0,1,17.823294546201232
1,debt_consolidation,0.1122,217.59,10.9525594,13.77,682,11490,95.7,0,0,0,0,5.9137577002053385
1,home_improvement,0.1312,85.23,10.59663473,20.67,692,17641,30.5,3,1,0,0,14.373716632443532
1,all_other,0.1122,328.43,10.30895266,20.4,742,0,0.0,3,0,0,0,8.952772073921972
1,all_other,0.0807,165.47,10.91508846,12.0,797,12430,19.2,1,0,0,0,24.06570841889117
1,debt_consolidation,0.1091,140.6,10.49127422,9.87,707,12323,44.0,0,0,0,0,4.271047227926078
1,all_other,0.1028,98.01,11.40756495,9.13,697,38624,97.8,0,0,0,0,9.034907597535934
1,small_business,0.1217,166.48,9.210340372,0.0,662,875,54.7,2,1,0,1,6.160164271047228
1,small_business,0.1249,284.32,11.35040654,6.38,667,1196,12.0,3,4,0,0,19.794547112936343
1,small_business,0.1438,194.15,13.08154138,2.4,697,26628,60.4,3,1,0,0,7.556354094455852
1,all_other,0.1028,138.51,10.34174248,24.81,767,6752,24.6,2,0,0,0,15.852041979466119
1,debt_consolidation,0.1249,70.25,9.433483923,14.4,662,458,91.6,1,0,0,1,4.0219028062970565
1,credit_card,0.0838,252.1,11.56171563,9.71,752,16786,44.7,0,0,0,0,9.607004334017796
1,all_other,0.0901,263.19,11.69524702,12.16,742,7336,29.9,0,0,0,0,26.61179557289528
1,all_other,0.0933,104.65,11.03488966,3.83,702,7089,41.9,1,0,0,0,10.102669404517453
1,debt_consolidation,0.0807,172.53,10.89673933,6.29,742,18388,68.9,0,0,0,0,13.963039014373717
1,credit_card,0.0996,38.7,10.37349118,1.13,677,613,76.6,2,0,0,0,5.256673511293634
1,educational,0.1249,100.35,10.2791805,12.77,662,566,51.5,3,1,0,1,3.0390143737166326
1,debt_consolidation,0.128,335.98,10.50232405,18.92,682,9166,50.4,1,0,0,0,6.075290896646133
1,all_other,0.1091,163.49,10.57131693,11.78,707,5406,33.4,0,0,1,1,13.385352498288844
1,all_other,0.0996,32.25,10.46310334,5.83,687,1188,3.0,2,0,0,1,5.9109057713894595
1,educational,0.0996,96.75,9.798127037,15.4,707,12003,40.4,1,0,0,0,30.797969418206705
1,all_other,0.1059,72.42,11.00209984,8.14,707,20511,62.0,1,0,0,1,13.141683778234086
1,small_business,0.0964,90.68,11.15625052,18.0,732,55720,10.0,2,0,0,0,10.105407255304586
1,all_other,0.0807,259.58,10.79957558,9.89,772,7744,17.1,0,0,0,0,27.02258726899384
1,all_other,0.0964,169.32,11.15625052,17.57,737,51761,38.0,1,0,0,0,14.866415696098562
1,credit_card,0.1154,205.4,10.71441777,17.76,717,579,23.2,0,0,0,0,4.1067761806981515
1,debt_consolidation,0.1312,162.01,11.35040654,16.87,707,34776,54.3,0,0,0,1,24.804814053388093
1,debt_consolidation,0.1028,226.8,10.92233487,10.05,692,8047,33.8,0,0,0,0,5.174537987679671
1,all_other,0.1059,162.73,9.61580548,24.4,737,0,0.0,3,0,0,0,8.788386948665298
1,debt_consolidation,0.1154,158.38,10.1266311,18.19,672,409,81.8,0,1,0,0,7.080082135523614
1,small_business,0.0901,795.11,10.95080655,8.93,822,185,0.5,0,0,0,0,26.54882500479124
1,debt_consolidation,0.0996,158.83,11.33857208,4.84,727,48251,50.1,2,0,0,0,17.3305954825462
1,all_other,0.1028,97.2,10.54534144,19.93,687,772,96.5,0,0,0,0,7.063655030800821
1,debt_consolidation,0.1154,263.97,10.81977828,8.04,672,1019,4.5,1,1,0,0,8.457221081451062
1,small_business,0.1091,404.62,10.75177778,16.39,692,8332,39.9,2,0,0,0,15.441478439425051
1,all_other,0.0775,307.53,11.15625052,9.09,797,1790,4.5,1,0,0,0,16.67339721560575
1,debt_consolidation,0.128,839.95,11.22524339,24.85,722,62739,74.7,3,0,0,1,17.3305954825462
1,all_other,0.1059,269.31,11.59910316,24.01,767,29901,71.2,2,0,0,1,12.774697694729635
1,debt_consolidation,0.1186,265.18,10.858999,11.31,667,5867,74.3,1,0,0,0,4.271047227926078
1,home_improvement,0.0964,802.47,11.26446411,0.8,732,10605,22.1,1,0,0,0,5.831508098562629
1,debt_consolidation,0.1091,505.16,11.69524702,16.97,697,57196,44.5,3,0,0,1,26.444900752908968
1,home_improvement,0.0901,318.05,12.52452638,2.97,712,481,80.2,2,0,0,1,13.467488021902806
1,educational,0.0838,315.12,10.30895266,4.2,737,2282,19.0,1,0,0,0,4.271047227926078
1,all_other,0.1091,130.79,9.574983486,8.92,672,3614,61.3,1,0,0,0,3.1211498973305956
1,debt_consolidation,0.1059,227.82,11.05879518,8.5,682,14930,79.0,1,0,1,0,18.726785305954824
1,credit_card,0.0996,643.36,11.66134547,13.07,727,33989,82.9,0,0,0,0,28.829454702258726
1,all_other,0.147,51.78,10.1266311,3.84,632,1238,61.9,1,1,0,0,4.188911704312115
1,educational,0.0901,572.48,10.62132735,15.37,747,4746,18.5,2,0,0,0,20.53388090349076
1,all_other,0.0775,149.87,9.952277717,6.34,752,3470,25.5,0,0,0,0,8.292950034223136
1,all_other,0.0996,96.75,11.03488966,11.98,682,12640,83.2,0,0,0,0,4.9253935660506505
1,home_improvement,0.0712,92.8,11.44035477,0.0,812,368,1.2,0,0,0,0,22.587268993839835
1,credit_card,0.1091,192.09,11.09741002,19.82,677,30597,89.5,1,1,0,0,11.745379876796715
1,all_other,0.1154,593.92,10.20359214,10.8,682,8537,75.5,0,0,0,0,13.826146475017111
1,debt_consolidation,0.1091,392.36,10.46310334,15.74,692,15649,54.5,2,0,0,0,4.106890258726899
1,educational,0.0775,156.11,10.858999,9.55,767,4067,7.3,0,0,0,0,35.48266028747433
1,debt_consolidation,0.1028,155.52,10.46310334,7.51,687,5836,68.7,0,0,1,0,7.652292950034223
1,credit_card,0.1028,485.99,11.38509209,11.95,702,24615,94.7,0,0,0,0,13.880903490759753
1,all_other,0.1028,116.64,10.30895266,7.88,687,7600,71.7,0,0,1,0,14.045288616016428
1,debt_consolidation,0.1122,223.34,10.83958091,18.68,682,9495,87.9,2,0,0,1,5.171914214921287
1,credit_card,0.0775,149.87,9.903487553,10.26,757,4921,30.4,0,0,0,0,17.33070956057495
1,educational,0.1154,211.17,11.46163217,1.83,667,11200,23.2,1,0,0,0,9.366301620807667
1,debt_consolidation,0.0743,186.45,11.13730067,6.11,777,2444,5.6,3,0,0,0,20.36972393429158
1,debt_consolidation,0.0933,790.86,11.00209984,0.82,767,916,6.8,0,0,0,0,5.749486652977413
1,small_business,0.0901,795.11,13.33100224,3.83,782,148829,6.6,5,0,0,1,10.020533880903491
1,credit_card,0.087,126.65,10.69194491,18.71,747,3209,12.6,0,0,0,0,9.938398357289527
1,credit_card,0.1091,294.27,11.28978191,17.17,677,7570,82.3,0,0,0,0,10.513461100616016
1,debt_consolidation,0.1091,404.62,11.28978191,9.23,687,13126,96.5,0,0,1,0,6.896646132785763
1,debt_consolidation,0.1186,397.77,11.91839057,20.48,687,66654,51.6,1,0,0,0,12.189025782340863
1,debt_consolidation,0.0743,178.68,11.46163217,1.2,812,50,0.3,0,0,0,0,44.51483003422314
1,educational,0.1028,29.16,9.392661929,16.7,687,3084,65.6,3,0,0,1,5.664613278576318
1,small_business,0.0996,417.62,11.42954386,6.48,712,2598,23.8,1,0,0,0,15.359456993839837
1,credit_card,0.1059,130.18,11.03488966,17.81,682,18168,68.5,2,0,0,0,17.33070956057495
1,all_other,0.1122,98.53,10.40134951,22.79,682,24218,85.3,2,0,0,0,25.7056810403833
1,all_other,0.0807,15.69,9.798127037,4.27,722,0,0.0,0,0,0,0,4.024640657084189
1,credit_card,0.1091,523.14,12.20607265,10.7,697,72303,73.7,1,0,0,0,20.041067761806982
1,all_other,0.087,557.23,11.9381932,0.12,757,1032,5.0,0,0,0,0,3.0884097659137577
1,all_other,0.1122,315.3,10.65725935,14.6,677,133,4.2,1,0,0,0,9.938398357289527
1,debt_consolidation,0.1154,527.93,10.70099475,12.16,682,34023,57.7,1,2,0,1,5.831622176591376
1,major_purchase,0.0743,93.23,11.1844214,11.18,757,12430,29.6,5,0,0,0,12.320442620123204
1,debt_consolidation,0.0775,202.94,10.77895629,13.53,787,10742,8.9,3,0,0,0,28.09046316221766
1,debt_consolidation,0.1186,165.74,10.59663473,7.02,667,2197,75.8,0,2,0,1,7.6359799233401775
1,all_other,0.1028,158.76,10.69194491,15.3,692,88,23.8,1,3,0,1,12.073921971252567
1,debt_consolidation,0.1028,485.99,10.81977828,11.88,702,13867,33.7,0,0,0,0,19.2198266036961
1,all_other,0.0996,322.49,11.19134184,10.28,702,3943,98.6,3,0,0,1,13.470339950718687
1,debt_consolidation,0.087,189.97,10.08580911,19.45,757,5405,40.0,2,0,0,0,10.59559662422998
1,debt_consolidation,0.1217,376.24,10.42228135,23.96,712,12102,49.0,1,0,0,0,8.295801963039015
1,debt_consolidation,0.1217,599.33,11.61045137,18.3,682,18076,81.4,1,0,0,0,11.989048596851472
1,debt_consolidation,0.1217,132.35,10.20359214,23.2,702,4504,39.2,1,0,0,1,14.45322838329911
1,small_business,0.1186,828.69,10.858999,9.74,712,25852,60.5,0,0,0,0,13.303331052703628
1,credit_card,0.1091,604.88,10.858999,17.56,707,32438,43.0,0,1,0,0,22.069815195071868
1,debt_consolidation,0.087,538.23,10.93131966,11.51,747,20380,48.1,2,0,0,0,17.08430298973306
1,credit_card,0.0933,172.55,10.6454249,16.09,707,38054,61.2,0,0,0,0,6.078028747433265
1,small_business,0.1091,604.88,10.49127422,4.67,697,25,0.2,2,0,0,0,3.8603696098562628
1,all_other,0.0996,290.24,10.54534144,3.38,697,3305,55.1,2,0,0,0,4.878850102669404
1,major_purchase,0.1186,530.36,11.36674295,15.1,682,348,4.8,0,0,0,1,10.677618069815194
1,all_other,0.087,158.31,10.08580911,6.15,722,3015,25.3,0,0,0,0,3.696098562628337
1,debt_consolidation,0.1059,390.54,10.30895266,19.84,702,7336,71.9,1,0,0,0,5.590805385352498
1,credit_card,0.1249,301.04,10.858999,4.98,662,8644,72.6,1,0,0,0,18.15206479671458
1,small_business,0.1154,659.91,11.47210347,17.81,707,93,0.0,2,0,0,1,9.935660506502396
1,small_business,0.0743,217.52,10.66895539,1.65,777,2698,9.5,0,0,0,0,7.882272416153319
1,home_improvement,0.1028,388.79,11.48246626,5.58,697,19009,30.0,0,0,0,0,13.141797856262835
1,major_purchase,0.087,158.31,10.77895629,0.38,717,498,7.3,2,1,0,0,35.40052476386037
1,debt_consolidation,0.1217,319.64,11.00209984,19.28,672,10358,91.7,2,0,1,1,12.97741273100616
1,credit_card,0.1028,103.68,11.22524339,9.7,682,2105,45.3,0,3,0,0,34.98973305954826
1,home_improvement,0.0964,154.08,11.00209984,12.94,697,2822,9.9,3,0,0,0,8.128793065023956
1,debt_consolidation,0.1059,650.9,11.58988651,11.96,707,21004,97.7,0,0,0,0,13.880903490759753
1,all_other,0.1375,81.74,10.75790288,24.08,667,11675,75.8,1,0,0,0,7.7207392197125255
1,all_other,0.0901,238.54,9.875088078,10.37,712,3933,43.7,0,0,0,0,3.3676705462012317
1,debt_consolidation,0.128,335.98,10.98189713,7.51,662,7251,80.6,3,0,2,0,11.249942962354552
1,all_other,0.1217,93.23,10.71441777,19.19,692,88,44.0,1,3,0,1,12.156171572895278
1,all_other,0.0933,95.87,10.50780352,2.69,697,1492,33.2,2,0,0,0,12.813141683778234
1,debt_consolidation,0.0996,95.94,10.1266311,14.16,692,7121,33.7,0,0,0,0,5.251311887748118
1,debt_consolidation,0.128,554.37,11.03488966,19.22,677,17641,69.5,2,0,0,0,8.377937486652977
1,small_business,0.1438,859.07,11.28978191,20.79,682,30946,61.5,3,0,0,1,8.375199635865846
1,major_purchase,0.0838,472.68,11.2515607,7.96,772,0,0.0,0,0,0,0,16.178074379192335
1,credit_card,0.1091,586.9,11.22524339,10.34,697,23391,90.7,1,0,0,0,7.307437828884326
1,major_purchase,0.0964,224.69,9.878169745,21.23,772,16324,48.0,0,0,0,0,16.10130047912389
1,debt_consolidation,0.128,483.81,10.49460201,8.47,662,7104,93.5,2,0,0,1,7.310175679671458
1,debt_consolidation,0.1217,399.55,10.08580911,14.5,672,9273,43.9,0,0,0,0,5.338923112936345
1,debt_consolidation,0.1186,232.04,10.82774645,17.02,672,6718,94.6,3,0,0,0,11.991786447638603
1,small_business,0.0964,802.47,11.22524339,17.06,767,12017,12.1,4,0,0,1,15.581222907597537
1,debt_consolidation,0.1091,304.9,11.16368368,18.96,692,5749,43.2,1,1,0,0,14.86652977412731
1,small_business,0.1249,836.23,11.27545477,7.99,692,6530,21.8,0,1,0,0,12.974674880219029
1,all_other,0.0775,124.89,10.08580911,6.0,752,2666,12.1,0,0,0,0,7.471708876112252
1,all_other,0.1028,113.4,10.77895629,17.65,687,3761,55.4,2,0,0,0,5.66735112936345
1,credit_card,0.1407,842.47,11.69524702,12.81,677,33698,91.3,0,0,0,0,14.62023728131417
1,debt_consolidation,0.1091,817.41,11.19821472,22.13,737,3472,4.5,1,0,0,1,27.104722792607802
1,debt_consolidation,0.1596,421.65,10.46287474,20.82,667,14534,48.9,3,1,0,0,18.48060689117043
1,educational,0.0933,575.17,11.00209984,9.96,732,6703,47.5,1,0,0,0,7.479922428473648
1,all_other,0.1312,405.03,11.56171563,18.25,667,5861,53.8,2,0,0,0,11.931553730321697
1,debt_consolidation,0.128,167.99,10.14564911,18.65,662,5061,72.3,0,1,0,0,3.7782340862423
1,debt_consolidation,0.0996,677.22,10.89857098,3.77,722,16888,39.5,0,0,0,0,16.83504449007529
1,all_other,0.1154,131.99,10.83863929,9.14,667,463,92.6,0,0,0,0,10.924024640657084
1,debt_consolidation,0.0933,281.2,10.1266311,0.0,712,0,0.0,0,1,0,0,9.199292722792608
1,debt_consolidation,0.0964,802.47,10.77895629,9.78,742,8283,12.7,4,0,0,0,6.981519507186858
1,credit_card,0.1091,505.16,11.61728548,10.86,687,46525,93.6,0,0,0,0,9.363563770020534
1,home_improvement,0.0743,180.23,10.62861778,2.32,772,2650,6.6,0,0,0,0,7.145904632443532
1,small_business,0.0933,798.84,11.51292546,1.57,762,17,0.1,5,0,0,1,17.41010723340178
1,all_other,0.0933,319.54,10.50506754,19.46,727,827,6.6,2,0,0,1,12.238307096509242
1,debt_consolidation,0.0964,32.1,8.517193191,18.0,702,961,26.0,2,0,0,0,3.285535022587269
1,debt_consolidation,0.0964,192.6,9.798127037,2.87,697,1554,29.3,1,0,0,0,3.2827971718001367
1,home_improvement,0.1407,764.64,11.81303006,3.66,672,10753,52.3,2,3,0,1,15.852156057494867
1,all_other,0.0712,30.94,11.69524702,0.65,792,2227,3.8,1,0,0,0,10.431325577002053
1,credit_card,0.0901,381.66,11.51961693,6.64,722,7606,18.6,0,0,1,0,28.172598685831623
